,ProductID,Description,Name,Type,Color,Size,Image
0,500.210.76,Your child can use it for different purposes. The easel has a whiteboard on one side and a blackboard on the other.,MLA,Easel,"Softwood,white",Not known,images/objects/500.210.76.jpg
1,802.538.09,Turned upside down the bed quickly converts from a low to a high bed.,KURA,Reversible bed,"White,pine",90x200 cm,images/objects/802.538.09.jpg
2,802.538.09,Turned upside down the bed quickly converts from a low to a high bed.,KURA,Reversible bed,"White,pine",90x200 cm,images/objects/802.538.09.jpg
3,802.962.48,"Made from 100% cotton, a natural material thats soft against your childs skin and gets softer with every wash.",STICKAT,Quilt cover and pillowcase,"Turquoise,lilac","150x200,50x80 cm",images/objects/802.962.48.jpg
4,502.962.97,Clever storage solution that you can hang on our childrens beds.,STICKAT,Bed pocket,Orange,39x30 cm,images/objects/502.962.97.jpg
5,203.086.97,"A playful and sturdy storage series for storing and organising toys, sitting, playing and relaxing.",TROFAST,Frame,Light white stained pine,94x52 cm,images/objects/203.086.97.jpg
6,302.980.23,Fits in TROFAST frames.,TROFAST,Storage box,Orange,42x30x23 cm,images/objects/302.980.23.jpg
7,501.158.62,Fits in TROFAST frames.,TROFAST,Storage box,Pink,42x30x23 cm,images/objects/501.158.62.jpg
8,600.940.72,Fits in TROFAST frames.,TROFAST,Storage box,Green,42x30x10 cm,images/objects/600.940.72.jpg
9,201.932.67,Paint in vivid colours that blends smoothly and makes it easy for children to mix their own colours.,MLA,Watercolour box,Assorted colours,Not known,images/objects/201.932.67.jpg
10,102.628.31,Jumping and somersaulting helps to develop a child's motor skills and coordination.,PLUFSIG,Folding gym mat,Green,78x185 cm,images/objects/102.628.31.jpg
11,902.962.62,"You can turn the rug over and use it longer, as it looks the same on both sides.",STICKAT,"Rug, braided","Green,pink",75 cm,images/objects/902.962.62.jpg
12,902.978.36,"The stool cover is nice and soft to sit on, and adds a splash of colour.",STICKAT,Stool cover,Pink,Not known,images/objects/902.978.36.jpg
13,901.766.41,Made of plastic which makes it easy to carry and move for children.,MAMMUT,Children's stool,"In,outdoor,white",Not known,images/objects/901.766.41.jpg
14,501.711.22,A playful and sturdy storage series for storing and organising toys.,TROFAST,Wall storage,White,99x30 cm,images/objects/501.711.22.jpg
15,700.914.12,Fits in TROFAST frames.,TROFAST,Storage box,White,20x30x10 cm,images/objects/700.914.12.jpg
16,902.978.41,Space-saving baskets that help to keep your childrens belongings organised.,STICKAT,"Basket, set of 2","Turquoise,lilac",20 cm,images/objects/902.978.41.jpg
17,902.696.97,Deep enough to hold standard-sized adult hangers.,SUNDVIK,Wardrobe,Grey-brown,80x50x171 cm,images/objects/902.696.97.jpg
18,390.416.60,"Extendable, so it can be pulled out as your child grows.",SUNDVIK,Ext bed frame with slatted bed base,Grey-brown,80x200 cm,images/objects/390.416.60.jpg
19,390.416.60,"Extendable, so it can be pulled out as your child grows.",SUNDVIK,Ext bed frame with slatted bed base,Grey-brown,80x200 cm,images/objects/390.416.60.jpg
20,302.567.25,"The changing table has a long life, as its easy to convert into a chest of drawers when your child is past the nappy stage.",SUNDVIK,"Changing table,chest of drawers",Grey-brown,Not known,images/dining table/302.567.25.jpg
21,302.567.25,"The changing table has a long life, as its easy to convert into a chest of drawers when your child is past the nappy stage.",SUNDVIK,"Changing table,chest of drawers",Grey-brown,Not known,images/dining table/302.567.25.jpg
22,002.267.49,Safety tested and tamper-proof to protect little fingers.,SNIG,Pendant lamp,White,Not known,images/objects/002.267.49.jpg
23,202.017.38,"Your child can use it as a footrest, a seat or stand on it to reach things that are stored higher up.",TROGEN,Footstool,Red,40x38x33 cm,images/objects/202.017.38.jpg
24,802.689.81,"Cotton, soft and nice against your child's skin.",LEKANDE,Bedspread,"Blue,green",120x180 cm,images/objects/802.689.81.jpg
25,501.653.62,"Yarn-dyed fabric; the pattern is visible on both sides; looks good from the back, too.",BERTA RUTA,Fabric,"Medium check,red",150 cm,images/objects/501.653.62.jpg
26,401.128.97,The wagons are easy to connect thanks to magnets.,LILLABO,3-piece train set,Not known,Not known,images/objects/401.128.97.jpg
27,601.128.96,Your child will have fun combining the pieces to make different track formations. The total track length is 83 cm.,LILLABO,"12-piece train set, bridge, tunnel",Not known,Not known,images/objects/601.128.96.jpg
28,300.643.59,Possible to make different formations and has a total track length of 300 cm.,LILLABO,20-piece basic train set,Multicolour,Not known,images/objects/300.643.59.jpg
29,500.643.58,Combines with most other railway systems on the market.,LILLABO,Rail,Not known,Not known,images/objects/500.643.58.jpg
30,199.270.00,The cot base can be placed at two different heights.,STUVA,Cot with drawers,White,60x120 cm,images/objects/199.270.00.jpg
31,703.195.61,"A quilt cover made of cotton and lyocell, soft natural materials that feel comfortable against your child's skin.",DRMLAND,"Quilt cover,pillowcase for cot",Multicolour,"110x125,35x55 cm",images/objects/703.195.61.jpg
32,891.236.01,This changing table grows with your child and easily converts into a desk or a play surface. Lower the top to the desired height and transform it into a desk.,STUVA,Changing table with 3 drawers,White,90x79x102 cm,images/objects/891.236.01.jpg
33,398.766.60,Low storage makes it easier for children to reach and organise their things.,STUVA,Storage bench,"White,white",90x50x50 cm,images/objects/398.766.60.jpg
34,002.907.83,This book display lets your child collect and reach their books without your help.,FLISAT,Book display,Not known,Not known,images/objects/002.907.83.jpg
35,700.108.35,Gives a soft mood light.,SMILA MNE,Wall lamp,Yellow,31x22 cm,images/objects/700.108.35.jpg
36,303.197.23,"The rugs thick piles dampens sound, creating a snug feeling, and are soft to walk on for all sizes of feet.",HIMMELSK,Rug,Grey,133x160 cm,images/objects/303.197.23.jpg
37,203.195.92,With the curtains you can create that extra cosiness while shutting out the daylight and gaining more privacy if needed.,HIMMELSK,"Curtains with tie-backs, 1 pair",Grey,120x300 cm,images/objects/203.195.92.jpg
38,303.208.54,"Maybe your child has difficulty falling asleep, maybe they wake up early? Then it can feel good to have three little friends looking down from the clouds and stars.",HIMMELSK,Mobile,Multicolour,Not known,images/objects/303.208.54.jpg
39,502.539.81,Soft against your babys skin.,SKTSAM,Cover,"White,orange",55x83 cm,images/objects/502.539.81.jpg
40,502.517.98,Soft for the baby since all 4 sides are inflatable.,SKTSAM,Babycare mat,White,53x80x2 cm,images/objects/502.517.98.jpg
41,301.992.83,You can easily keep your nappy changing supplies organized and easy to find with these storage baskets in different shapes and sizes.,NSKLIG,Stor baskets changing tbl set of 4,White,Not known,images/objects/301.992.83.jpg
42,902.965.87,Space-saving baskets that help to keep your childrens belongings organised.,STICKAT,"Basket, set of 2","Yellow,orange",Not known,images/objects/902.965.87.jpg
